,filename,acc,prec,recall,f1
0,out_03-03-2020__18:32:35.json,0.8750688740079365,0.8715882876648411,0.8746079365079366,0.8716316500552503
0,out_03-03-2020__20:30:54.json,0.41886475378856725,0.9085386135958605,0.0562251549206407,0.10516205789620439
0,out_03-04-2020__17:46:30.json,0.8805691634925956,0.8755685011513651,0.8798334324806663,0.8767866602659835
0,out_02-29-2020__19:09:10.json,0.8708324085884355,0.8685603675537387,0.8702369047619047,0.8674424922200483
0,out_02-29-2020__13:45:32.json,0.8691347328514739,0.8653911021221783,0.8687126984126984,0.8638109786413446
0,out_02-29-2020__21:17:25.json,0.7589285714285714,0.5760522959183674,0.7589285714285714,0.6549422799422799
0,out_03-03-2020__20:24:10.json,0.4220248421468959,0.9414563560158229,0.05890275412844001,0.11056399830751132
0,out_03-02-2020__21:03:12.json,0.6957467822832903,0.6153821206920456,0.6950477835387185,0.6385664315102332
0,out_03-04-2020__16:02:24.json,0.7173183511582601,0.6125678422953749,0.7166427679413595,0.6327321081762338
0,out_03-04-2020__14:23:53.json,0.8691255205234979,0.8649487109780198,0.8691255205234979,0.863988088680732
0,out_02-29-2020__21:06:14.json,0.6964285714285714,0.4850127551020408,0.6964285714285714,0.5718045112781954
0,out_03-03-2020__20:36:14.json,0.42057962993593734,0.9256229235447112,0.05845584775280086,0.10985675663237604
0,out_02-28-2020__16:16:25.json,0.8830357142857143,0.8796975897959604,0.8830357142857143,0.8779189181116327
0,out_03-02-2020__14:54:46.json,0.7270559630102041,0.5277602838010205,0.7263392857142857,0.6112738458159608
0,out_02-29-2020__22:31:12.json,0.7310586734693878,0.5343769929846939,0.7308035714285714,0.6172567113621897
0,out_03-04-2020__17:08:23.json,0.8634152003654945,0.8614619238519906,0.8631766805472932,0.8622551366747179
0,out_03-03-2020__20:27:51.json,0.7393348604082913,0.5457936210557497,0.7387772099954358,0.6277887430841282
0,out_03-02-2020__19:12:31.json,0.6339285714285714,0.6954144789138985,0.6339285714285714,0.6550040355125101
0,out_03-04-2020__14:41:27.json,0.8752215774794825,0.870572301462281,0.8744794765020821,0.8718868956644233
0,out_03-04-2020__14:53:49.json,0.8663797115184194,0.8611900690349761,0.8661511005353956,0.8618015873672067
0,out_03-03-2020__21:17:09.json,0.7231140567630809,0.5811230270644874,0.7225361496362654,0.6331612148905966
0,out_03-03-2020__20:02:17.json,0.7393323837868482,0.5460458450270849,0.7387603174603175,0.6278706634403763
0,out_02-27-2020__15:26:01.json,0.8688987866339127,0.8654293915272573,0.8684436507936507,0.862570435677258
